Country,State,State type,Date,Category,Subcategory,Variable,Unit,Value
India,Andaman and Nicobar,Union territory,01-04-2019,Electricity generation,Aggregate fuel,Fossil,GWh,8.73
India,Andaman and Nicobar,Union territory,01-04-2019,Electricity generation,Aggregate fuel,Gas and Other Fossil,GWh,8.73
India,Andaman and Nicobar,Union territory,01-04-2019,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",GWh,0.63
India,Andaman and Nicobar,Union territory,01-04-2019,Electricity generation,Aggregate fuel,Renewables,GWh,2.57
India,Andaman and Nicobar,Union territory,01-04-2019,Electricity generation,Aggregate fuel,Wind and Solar,GWh,1.94
India,Andaman and Nicobar,Union territory,01-04-2019,Electricity generation,Fuel,Bioenergy,%,0
India,Andaman and Nicobar,Union territory,01-04-2019,Electricity generation,Fuel,Coal,%,0
India,Andaman and Nicobar,Union territory,01-04-2019,Electricity generation,Fuel,Gas,%,0
India,Andaman and Nicobar,Union territory,01-04-2019,Electricity generation,Fuel,Hydro,%,5.58
India,Andaman and Nicobar,Union territory,01-04-2019,Electricity generation,Fuel,Nuclear,%,0
India,Andaman and Nicobar,Union territory,01-04-2019,Electricity generation,Fuel,Other Fossil,%,77.26
India,Andaman and Nicobar,Union territory,01-04-2019,Electricity generation,Fuel,Other Renewables,%,0
